Cod_SBS,Cod_Emp,Tipo_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
2003851826,70014,51,11,4,15030202000,001490,0000,0,11415030202000
2003851826,70014,01,18,1,13020000000,004270,0000,0,18113020000000
2003851826,70014,51,11,4,19030100000,000000,0000,0,11419030100000
2003851826,70014,51,18,1,19230000000,000000,0000,0,18119230000000
2002928000,20048,01,28,1,13020000000,062330,0000,0,28113020000000
2001658439,80048,01,28,1,13020000000,068790,0000,0,28113020000000
2001658439,80048,01,28,1,23020000000,079910,0000,0,28123020000000
2005095794,20000,11,08,1,13020000000,046970,0000,0,08113020000000
2001509668,30022,81,08,1,13020000000,052030,0000,0,08113020000000
2001509668,30022,81,08,1,13020000000,051960,0000,0,08113020000000
2001509668,30022,81,08,1,13020000000,051860,0000,0,08113020000000
2006072723,60022,81,08,1,13020000000,051380,0000,0,08113020000000
2001023118,30000,21,17,2,15060300000,000000,0000,0,17215060300000
2001023118,30000,21,18,1,19230000000,000000,0000,0,18119230000000
2003176923,00006,11,21,4,19030600000,000000,0000,0,21419030600000
2003176923,00006,11,21,4,18030000000,000000,0000,0,21418030000000
2003176923,00007,21,17,2,15060300000,000000,0000,0,17215060300000
2003176923,00006,11,28,1,19370301000,000000,0000,0,28119370301000
2003176923,00007,21,18,1,19230000000,000000,0000,0,18119230000000
2003176923,00006,11,21,4,11030603000,000000,0000,0,21411030603000
2002110111,70010,41,17,2,15030301000,000000,0000,0,17215030301000
2002110111,70006,11,21,4,18030000000,000000,0000,0,21418030000000
2002110111,70006,11,21,4,11030603000,000000,0000,0,21411030603000
2002110111,70010,49,98,4,14090000000,000000,0000,0,98414090000000
2002110111,70010,41,21,4,19030600000,000000,0000,0,21419030600000
2002110111,70010,41,21,4,18030000000,000000,0000,0,21418030000000
2002110111,70010,41,21,4,11031300000,000000,0000,0,21411031300000
2002110111,70010,41,11,4,18030000000,000000,0000,0,11418030000000
2002110111,70006,11,21,4,19030600000,000000,0000,0,21419030600000
2002110111,70006,11,28,1,19370301000,000000,0000,0,28119370301000
2002110111,70010,41,12,9,11010100000,000000,0000,0,12911010100000
2002110111,70010,41,11,4,11030601000,000000,0000,0,11411030601000
2002110111,70010,41,11,4,19030600000,000000,0000,0,11419030600000
2002110111,70010,41,18,1,19370301000,000000,0000,0,18119370301000
2005425530,60007,21,17,2,15060300000,000000,0000,0,17215060300000
2005425530,60007,21,11,4,19030600000,000000,0000,0,11419030600000
2005425530,60000,11,11,4,18030000000,000000,0000,0,11418030000000
2005425530,60010,41,21,4,19030600000,000000,0000,0,21419030600000
2005425530,60007,21,11,4,18030000000,000000,0000,0,11418030000000
2005425530,60010,41,28,1,19370301000,000000,0000,0,28119370301000
2005425530,60000,11,18,1,19230000000,000000,0000,0,18119230000000
2005425530,60007,21,18,1,19230000000,000000,0000,0,18119230000000
2005425530,60007,21,11,5,15010200000,000000,0000,0,11515010200000
2005425530,60012,91,18,1,19230000000,000000,0000,0,18119230000000
2005425530,60007,21,11,4,11030209000,000000,0000,0,11411030209000
2005425530,60010,41,21,4,11030603000,000000,0000,0,21411030603000
